full_text,class
@choymarkochoy @erickthohir @KPU_ID @sobat_anies @yacoblaw2323 @Obay_Kusut1981 @satriohendri @Heraloebss @msaid_didu Atur aja daahh...   Selagi gerombolan HAMA MONYET masih berkuasa...   PETANI sabar &amp  amati aja dulu...,1
"@Urrangawak @Miduk17 @ch_chotimah2 @__AnakKolong @AntoniusCDN @Aryprasetyo85 @seruanhl @BiLLRaY2019 @denni_sauya @Eil_Thia @B3doel___ Saya mengajak seluruh rakyat Indonesia, termasuk pendukung Ganjar-Mahfud &amp  Prabowo-Gibran, sama2 gunakan hati nurani &amp  akal sehat untuk memilih Anies-Muhaimin..AMIN.. untuk Indonesia yg lebih baik &amp  bebas KKN.. #AMINAjaDulu",2
@puanmaharani_ri Bapak Anies Baswedan akan membuat dasar perubahan untuk Indonesia menjadi lebih baik dan bermartabat,2
"@tifsembiring Semoga hanya 2, Anies Rasyid Baswedan semoga di doakan menjadi Presiden",2
@ismailfahmi perjalanan singkat pak anies pasca terjun dunia pulitik. di fitnah syi'ah di fitnah bakal jadiin jakarta kek syiria skrg masuk sama gerakan nwo cepet amed ya berubahnya,2
@ismailfahmi Yg paling lemah ya Anies,1
@misterm686 @YRadianto @MarcosLynd nti dulu ya lom waktunya untuk anies or prabowo ... sekarang waktunya GANJAR MAHFUD jd president gaasspool ðŸ¤ŸðŸ¤ŸðŸ¤ŸðŸ¤ŸðŸ¤ŸðŸ¤ŸðŸ¤Ÿ,1
"@PreciosaKanti Ganjar Pranowo itu produk gagal satu daerah Jawa tengah termiskin, UMR terendah, banyak anak2 putus sekolah,jln banyak yg berlubang2 apanya yg di harapkan? ....... Ganjar Pranowo mn paten Anies Rasyid Baswedan yg paten . Otak di gunakan yoooo?",2
"From Anies itu radikal, Jakarta bakal jadi Suriah, to Anies itu bagian New World OrderðŸ¤£",1
@sobat_anies Terbantahkan sdh saat ini bhw Solo adlh kandang banteng.  #AMINAjaDulu  ðŸ¤²âœŠï¸,2
"@aniesbaswedan Saya tantang pak Anies utk secara terbuka mendoakan korban yg jatuh dipihak Israel dan mendoakan kesejahteraan dan kedamaian Israel,,  100% saya secara pribadi tdk akan ragu pilih bpk utk jd presiden,",2
@sobat_anies Solo keren .. AMIN,2
 Lah kok kelojotan? Itu yang dibilang Om @bengkeldodo bener loh. Urusan kemanusiaan jangan selalu dihubungkan dengan capres. Anies atau Ganjar juga boleh kok bantu Palestina.  Harus bisa menempatkan posisi dong kak. Murahan banget kalau niat membantu cuma ingin cari pendukung,2
"@UmarSyadatHsb__ Sama dgn Pak jokowi dan pendukungnya, siapa yg mengira PKB dikasih jabatan menteri sampe sekarang eh skrg satu kolam sama Pak Anies... Politik ya begitu, jangan baperan.. Siapa tahu nanti putaran kedua demokrat dukung Pak Anies atau PKB dukung Gibran...",1
@detikcom Zionis pesek,1
Lah Man Kenapa lo ga ke Anies aja Udah jelas Track recordnya https://t.co/yIoEvblZ2b,2
@yusuf_dumdum Kenapa yg kaya gini ga disebut dg Politik Identitas? Jelas2 ini event apa Seneng bnget nyematinnya ke Anies doang.  Kalo pernah sekolam emg susah bilang salah,1
@Metro_TV Karena anies paling rendah dan karena metro tivu punya surua paloh hahaha,1
wasit nya pendukung anies,1
"@mochamadarip Ahhh pengen 3 periode ataunkalo bisa presiden seumur hidup ajah, sok sok an ngaku melindungi Indonesia. Skrg dilihat pake mata, bukan pakai dengkul, waktu Anies jd Gubernur DKI apa jakarta jadi kota radikal ? Mikirr?PKI ajah yg pengen berkuasa teruss dan pengen maling duit negara",1
"@arifin34533 Ahok udah kelaut... Cuma mimpi2 pilkada yg lenyap aja para pemujanya.. ya.. kelompoknya dia dia juga yg sok teriak NKRI harga mati, intoleran, radikal radikul, teroras teroris,khilafah, pembenci FPI,PKS,dan Anies .ðŸ¤£ðŸ¤ª",1
"Jejak Karier Anies Baswedan, Inspirasi yang Muda yang Berprestasi https://t.co/9QMtboRp21",2
"@dinkisot46 @puanmaharani_ri @RaniKancana Betul musuh kita sekarang bukan anies prabowo Musuh kita yg ku cinta i  Mau tak mau,saya sekeluarga lawan.",1
Kalau jakarta banjir mungkin pak anies yang terkena kesalahan,2
"@ernestprakasa Haallaahh ini mah tak tik pdip dan pak jokowi,buat ngelawan pasangan anies dan gus imin... Milih ganjar sama prabowo itu satu kubu,",1
@BungkusTukang Yg dungunya udah di terapi  Pilih Anies cak imin ! https://t.co/LzLwZCPDdB,2
Ini harusnya tweet anies woy ðŸ¤£ðŸ¤£,2
"Kalau pola kepemimpinannya dan kebijakannya setelah 2024 tetap sama seperti kepemimpinan dan kebijakan Blio., catat mau itu Prabowo, Anies dan Ganjar yaa segi tiga sama dan sebangun mau di jungkir balikkan keatas-kebawah-kekiri dan kekanan bentuknya tetap sama segi tiga sama danâ€¦",0
@1D9R @Arie_Kriting Anies gada pilih yg lain,2
"@kadrun_kw @moechlissinna @danielht2009 @Dennysiregar7 @aniesbaswedan Terus gmn dgn foto2 ini, Anies juga bertemu dgn tokoh2 radikal dan khilafah... Gitu ya ... ?  Dungu jgn dipelihara tong... https://t.co/k0HUqgbZ1g",1
Anies Baswedan Targetkan Perolehan Suara Besar di Kota Solo https://t.co/D3ofR03S9D #TempoNasional,2
"@BangPakat @kurawa Wkwk tpi semoga Golput lu tercapai bang, biar putaran keduanya prabowo vs anies. Ganjar gausah diajak wkwj",2
ANIES Sampai Naik Bus ke Bukittinggi Demi ke Rumah Bung Hatta  Support https://t.co/7oNYtVrVnyâ €|â €ðŸ¤– https://t.co/mvrJB3u5TB â €|â €ðŸ https://t.co/Q58owLx3Z4 â €| #AminAjaDulu #TapTapAniesApp,2
"@zoelfick hati ente sudah bernanah krn dengki bro, rekam jejak dia dr dulu konsisten dg founding father yg mencetus dasa sila bdg..PR indo tinggal 1, memerdekakan palestina..kalo capres ente jg mengajak rakyat indo to free palestine pendukung anies pasti welcome2 aja..",1
Ingat pesan anies REKAM JEJAK ðŸ˜ðŸ˜ðŸ˜âœï¸âœï¸âœï¸âœï¸,2
"@pramoedyaaaaa @asunaryo75 Saya sih dukung pak PROBOWO dan mas Gibran tapi bagaimana pun hasil nya di 2024 saya sebagai rakyat hanya menghargai keputusan,mau pak probowo,Ganjar,Anies nanti 2024 jadi presiden saya hormati keputusan nya nanti",2
"@ruhutsitompul Kamu Anies ya,, kalian nyanyi aja",1
@ajengcute16__ Betina tolol.. nggak mungkin juga Ganjar atau Anies.. dasar betina tolol akut..,1
Scroll bawah sikit jumpa la videonya. Terhibur baca komenðŸ˜‚,0
"@SlametJogja @DoankWarto Kelahiran anies jelas di kuningan jabar, orang tuanya jelas, kakeknya jelas pahlawan kemerdekaan, ijazahnya jelas asli.  Yang gak jelas itu isi pale lo",2
"@timellcome Gini amat narasi akun pendukung Pak Anies  Tapi ada bagusnya karena ada yang memulai narasi ... Bisa berenang tidak, capres mu?""  ""Bisa berkuda tidak, capresmu?""  ""Bisa pencak silat tidak, capresmu?""  ""Bisa naik pesawat jet tempur tidak, capresmu?""  Thanks, Pa'oel  ""Loe jual,â€¦""",1
@Gus_Raharjo Sudah pak ET gabung ke tim pak Ganjar-Mahfud aja biar bisa bersinergi utk membangun Indonesia menuju Indonesia Unggul,2
"Kalimat kalimat Ganjar harus di pertanggungjawaban, ketum PP juga tidak ingin ada masyarakat yang memiliki hobi yang sama  #Megawaty #wanitaperisai #ganjarsukavideoporno https://t.co/9i6wI7yyZM",1
@Melihat_Indo @ganjarpranowo Ganjar pranowo is the best pokoknya gass poll pilih pak ganjar pranowo capres 2024,2
@KerjaHasil_id Ganjar sudah melakukan aksi nyata dgn memboikot israel,2
"@ganjarpranowo @urbansneakersoc Jangan pernah bosan untuk mendukung semangat dan kreativitas anak muda ini, ya Pak Ganjar ðŸ¥º Terus beri support dan fasilitas agar mereka makin maju! dan sejahtera â¤",2
https://t.co/yQ854wAHAk perisai-megawaty-kembali-persoalkan-ganjar-suka-video-porno  #Megawaty #wanitaperisai #ganjarsukavideoporno,1
"@Melihat_Indo @ganjarpranowo Semoga Jikalau Pak Ganjar sudah duduk di kursi paling atas, jangan membuatnya patah hati karena sikap dan tindakannya seperti pemimpin saat ini ðŸ™",1
@Melihat_Indo @ganjarpranowo Sehat selalu pak Ganjar pranowo semoga selalu didatangkan hal hal yang baik,2
"@Paltiwest israel tidak akan pernah berubah, begitu pula sikap jati diri INDONESIA ini terhadap israel. Penjajahan didunia harus dihapuskan, penjajah israel harus dihapuskan BUKAN malah di Normalisasi sebuah Negara.Aku Bangga Indonesia Mempunyai Sikap itu,bukan GANJAR tetapi KONSTITUSI KITA",1
"Buat yang 2014 &amp  2019 Lawan BOWO  Ngapain 2024 jadi PROBOWO  sanggup ya kalian makan kotoran sendiri, layaknya BABI",1
"anjinggg mimpi aneh lg masa ig gw dihack trus jd ngepost sesuatu ttg ganjar trus ada yg komen lu kan pekerja""""",1
@triwul82 Ni di kasih prabowo-gibran 100% GANJAR-NAHFUD MD 0% Anis imin 0%  Redponden kader gerindra Trial error 50%,2
Pakar Hukum dan Kubu Ganjar Ramai-ramai Tanggapi Operasi Rahasia Gagalkan Gibran Jadi Cawapres https://t.co/n8ItBIitkQ,1
Keberhasilan reformasi dan Demokrasi membaik berbuah orang yang biasaÂ² di daerah mjd Presiden.  Tapi dengan beliau menabur garam di langit demokrasi yg cerah kini langit demokrasi mjd mendung.  Semoga Pak Ganjar mampu membentangkan Merah Putih saat terjd hujan #GasssGanjarMahfud https://t.co/NsgwU9KPDl,2
PDIP BEKASI OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/lAg3FqspeW,2
PDIP BEKASI OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/5lfBIFjRTV,2
PDIP BEKASI OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/DwWSDMEBCM,2
PDIP BEKASI OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/2V45jKCHbM,2
GUS AANG OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/NFBaXKumAS,2
"PEMILU 2024, RELAWAN DAN KELUARGA OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/6pNZqbTMP2",2
GUS AANG OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/XMaiTW8UB8,2
PDIP BEKASI OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/Rp90c7ZoOF,2
"PDI PERJUANGAN BALI MENANGKAN GANJAR-MAHFUD, OPTIMIS MENANG SATU PUTARAN https://t.co/Qc8HnF9zFb",2
GUS AANG OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/bCeqikZyYi,2
PDIP BEKASI OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/R2fVgP6L27,2
GUS AANG OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/v9VPDdS7eT,2
GUS AANG OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/thBB1rHeoV,2
"PEMILU 2024, RELAWAN DAN KELUARGA OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/yWp9xAXb5D",2
"PDI PERJUANGAN BALI MENANGKAN GANJAR-MAHFUD, OPTIMIS MENANG SATU PUTARAN https://t.co/ZUhZD2Qct7",2
GUS AANG OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/dcr7FwSJ0H,2
"PEMILU 2024, RELAWAN DAN KELUARGA OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/yAPG6A3tiu",2
"Bismillah 05/11/2023.  Calon Presiden Kita Pak @ganjarpranowo menghadiri acara Silaturrahmi Kerja Nasional Ikatan Cendekiawan Muslim  se-Indonesia 2023   Dalam acara tersebut, Pak Ganjar Memaparkan gagasan nya di sektor maritim Indonesia ðŸ¤Ÿ  #SahabatGanjar  #GanjarMahfud2024 https://t.co/QLMUTctrSZ",2
@Melihat_Indo @ganjarpranowo Kesederhanaan juga kedekatan pak Ganjar dengan masyarakat selama ini sudah buktikan bahwa beliau memang tulus.,2
@kurawa @panca66 @kangdede78 hahaha ternyata sanggup makan kotoran sendiri  NO BOWO at All NO Kang Martabak  Jaga Martabat,1
"Hmm yg gue heran, knp waktu pak ganjar nolak pildun tuh pd protes? Pdhl niatnya ya demi menjaga hubungan sm negara P jg. Ngapain main sm penjajah, apalagi tuan rumahnya mau di indo. Kan kita berprinsip, penjajahan di atas dunia harus di hapuskan-",2
"@tamrintomagola hahaha..saya sebagai pendukung ganjar merasa geli aja, ya siapapun yg mau nyaleg, nyapres, nyalur, nyabub, bahkan nyalon RT ya pasti pencitraan, kek cowok yg baru PDKT ma cewek, kalo dah dapet yaudah.makanye sewajarnya,  Ganjar nanti paling jg kek gt, urip iku sakdermo nglakoni.",1
@Melihat_Indo @ganjarpranowo Pak Ganjar pranowo pemimpin yang hebat dan bijaksana sukses selalu pak Ganjar pranowo,2
@ShenoWirang @Atiq_Tam kocak lo den...Ganjar yes!!!,2
"@jpnncom Ganjar Mahfud adalah sosok yg tidak pernah melupakan akar mereka dan selalu berkomunikasi dengan rakyat mereka tidak pernah bersikap sombong atau arogan, bahkan saat menduduki jabatan publik yg tinggi Ganjar Mahfud",2
@anismatta saat israel akan bermain disini hanya Ganjar yg bersuara dan melakukan aksi nyata boikot!,2
@Melihat_Indo @ganjarpranowo Pak Ganjar ga diragukan sih komitmennya,2
@narkosun @AimanWitjaksono Bismillah semoga diberi kelancaran dlm tugas mas @AimanWitjaksono dan mengantar Ganjar-Mahfud memimpin negeri ini,2
"@Dennysiregar7 PDIP adalah partai yg memiliki kadernya luar biasa , dari Jokowi, Ganjar, Gibran, artinya PDIP berhasil dalam pendidikan kadernya. Terlepas dari intrik politik.jaga persatuan dan kesatuan NKRI""",0
@Melihat_Indo @ganjarpranowo Ganjar pranowo selalu dihati jangan ragu untuk memilih pak Ganjar pranowo,1
@Melihat_Indo @ganjarpranowo Yakin dong atas kepemimpinan pak ganjar,2
@KATADATAcoid dukungan penuh dari masyarakat Indonesia untuk pak Ganjar dan pak Mahfudâ¤,2
"@Melihat_Indo @ganjarpranowo Semoga aspirasi masyarakat Bali terwujud, dan Ganjar bisa terus melayani Indonesia dengan kejujuran dan dedikasi yang tinggi.",2
"pengakuan ganjar tentang video porno dalam posisi sebagai pejabat publik, yang sudah pasti berimplikasi publik #Megawaty #wanitaperisai #ganjarsukavideoporno  https://t.co/DilSpT9Pnb",1
"@CNNIndonesia Krna survei milik 9 naga, 9 naga condongnye ke ganjar n prabowo",2
@Melihat_Indo @ganjarpranowo Yakin ganjar selalu komit nih,2
Pak @jokowi kasihn banget Anda kalo Givran gak jadi wapres RI di 2024 mendatang dan Ganjar sekalipun dia jadi gak akan membela kepentingan pribadi Anda sama sekali.,2
@Melihat_Indo @ganjarpranowo Orang baik pilih orang baik  Ganjar pranowo lebih baik Sukses selalu pak Ganjar pranowo capres 2024,2
@Melihat_Indo @ganjarpranowo Dukung ganjar karna track record nya konsisten,2
@ganjarpranowo @urbansneakersoc hal yg bisa dilakuin adalah dengan memberi dukungan ke produk lokal bangga sama pak ganjar,2
@Melihat_Indo @ganjarpranowo Semoga pak ganjar bisa membantu rakyat untuk makin berkembang lg ðŸ¥°,2
"@ganjarpranowo @urbansneakersoc selalu suka lihat segala aktivitas pak ganjar, semuanya selalu positif",2
Trick pak jokowi sudah bisa di baca  Dia mau si ganjar pranowo menang  Tapi dia ga mau anies ada harapan  Jadi dia majukan Anak nya dan prabowo,2
@Melihat_Indo @ganjarpranowo Cuman pak ganjar sosok pemimpin yg udah jelas kinerja nya ðŸ¥°,2
Pasca putusan MK tema keberlanjutan akan diusung oleh Prabowo kubu Ganjar mulai pudar dengan tema ini  tema yg diciptakan kedepan nanti adalah yg pro politik dinasti (Prabowo) melawan yg anti dinasti (Ganjar Anies)  itu akan otomatis terbentuk di masyarakat,0
@VIVAcoid semoga ganjar  mahfud dipermudah jadi presiden 2024,2
@Gus_Raharjo Pilihan terbaik hanya untuk orang terbaik GANJAR MAHFUD,2
@Melihat_Indo @ganjarpranowo Semangat pak masyarakat sangat berharap pada pak ganjar untuk bisa memajukan Indonesia,2
@Melihat_Indo @ganjarpranowo Yakin ganjar selalu tulus dan konsisten,2
@Melihat_Indo @ganjarpranowo Semoga pak ganjar kerja buat rakyat dan selalu amanah ðŸ¥°,2
@hansssolo Ijin tanya pak. Mengenai kebebasan mendirikan rumah ibadah apakah akan ada perubahan di kepemimpinan pak Ganjar dan pak Mahfud ?,0
@Melihat_Indo @ganjarpranowo Semoga aja pak ganjar bisa selalu amanah ðŸ¥°,2
Wadawww... Pak Ganjar suka nonton juga https://t.co/dCztOUVlQ2 Penyebab-ganjar-makin-tertinggal-dari-prabowo,2
"MALMING INI, BEGADANG DI GOR JATIDIRI SEMARANG.... SATU KOMANDO DUKUNG GANJAR MAHFUD ðŸ¤ŸðŸ¤ŸðŸ¤ŸðŸ”¥ https://t.co/4dR0yjPRxa",2
"@liputan6dotcom Pura2 aja kalian itu, sejati kalian itu sama, mau Ganjar mau Prabowo sebenarnya satu misi satu bossâ€¦Insya Allah Anies RI.1 Aamiinn",0
@yunartowijaya Anies sama Ganjar masuk putaran ke 2 kayanya. Pemilih Prabowo terpecah 2 ada yang ke Anies ada yang ke Ganjar,0
Kita kalahkan keluarga @jokowi @gibran_tweet @kaesangp di 2024  Sebagai perjuangan INTEGRITY MORAL &amp  MENTAL yang sudah dilakukan dalam program REVOLUSI MENTAL,2
@yunartowijaya Yg pasti tim Ganjar sudah Solid kata bu Puan juga https://t.co/EhWUzX0d1t,2
@Melihat_Indo @ganjarpranowo Semoga aja pak ganjar tidak mengecewakan kita semua ðŸ¥°,0
"@PartaiSocmed Monggo tim Ganjar, sosialisasikan pengumuman ini ke semua barisannya.",2
harusnya sebagai pejabat publik ganjar jangan bicara suka film porno kan blunder #Megawaty #wanitaperisai #ganjarsukavideoporno https://t.co/DilSpT9Pnb,1
"@Dennysiregar7 @BadruddinAl @gibran_tweet @PDI_Perjuangan @__AnakKolong Denny Denny...dulu Jokowi kau puja2,dimatamu Jokowi selalu benar,seandainya Gibran JD wakilnya Ganjar,mungkin km ga  emosian kek sekarg iniðŸ¤£ðŸ¤£ðŸ¤£",1
@Melihat_Indo @ganjarpranowo Pak ganjar rekam jejaknya bersih,2
"@nongandah @saidiman @saifulmujani Bgtu angkanya 50% ke atas pd gumbira krn takut kalo isu nepotisme, politik dinasti, ketidaknetralan &amp  demokrasi yg mendung jd isu bersama Ganjar &amp  Anies.",2
@ganjarpranowo @urbansneakersoc Pak ganjar memang pemimpin yang selalu dukung dan support umkm kita untuk bisa maju,2
Ini toh yang sedang hits. Hmmm  https://t.co/xOFRkA0RhQ enyebab-ganjar-makin-tertinggal-dari-prabowo,1
"Mari fokus kepada Ganjar dan Mahfud, biarkan saja yang lain mengurus capres mereka. Doaku GanjarMahfud menang SATU PUTARAN. https://t.co/w8Ge1NmCFL",2
"Dulu sebelum putusan MK soal usia Capres/Cawapres  publik dipecah antara yg pro JKW dg tema keberlanjutan (Ganjar dan Prabowo) melawan yg antitesa JKW perubahan (Anies)  nanti tema itu berubah, saat ini gejalanya sih sudah terasa  ini penting utk melihat peta pilpres putaran2",0
Ganjar Mahfud bagus tapi di PDIP banyak ditangkap koruptor.,0
@ganjarpranowo @urbansneakersoc Mantappp nih pak Ganjar selalu mendukung usaha anak mileniall bangsa,2
@ganjarpranowo @mohmahfudmd Ganjar sosok panutan sejati nih,2
@Gus_Raharjo Ganjar Mahfud pasti bisa menjadikan Indonesia makin Sejahtera. Gaspol,2
@hikmat_says @amatalidla @ismailfahmi Yap..berarti gak 2 diantaranya. Buzzernya hanya membela tuannya salah pun ditabrak akhrnya mereka kecewa sendiri ada yg bikin kubu dgn prabowo. Ganjar juga bilang saat penolakan itu karena arahan partai. Dahlah banyak kecewanya dari merah ðŸ˜‚,1
@Paltiwest Makin anda angkat PDU20 makin Anjlok junjungan ente!!!  Pecinta Sepakbola Tanah Air mayoritas masih SAKIT HATI dan Tidak Memihak Ganjar &amp  pdip krn hal itu.  #Blunder,1
@ganjarpranowo @mohmahfudmd Bangga dengan Pak Ganjar yg selalu rendah hati,2
"@nongandah @saidiman @saifulmujani Jk memang benar hoax, ini sdh pidana krn mencatut nama &amp  logo SMRC. Segeralah lapor ke Polisi @DivHumas_Polri  Jgn didiamkn krn brdampak buruk pd pasangan Ganjar-Mahfud.",0
@Gus_Raharjo Tetap semangat mendukung penuh pak Ganjar Pranowo dan pak Mahfud MD,2
â”â”â”ð’¢ð’¶ð“ƒð’¿ð’¶ð“‡ð‘€ð’¶ð’½ð’»ð“Šð’¹ â”â”â” Nasehat Pak Ganjar Untuk orang tua yang memiliki anak-anak generasi Milenial dan Gen Z. ððšð¡ðšð¦ð¢ ðŒðžð«ðžð¤ðš  @ganjarpranowo @mohmahfudmd #GanjarMahfud2024 https://t.co/BBBQJyRKJ0,2
@kompascom dukungan penuh dari masyarakat Indonesia untuk pak Ganjar dan pak Mahfudâ¤,2
Lagi ramai hari ini pembasan soal porn* owalah  https://t.co/oQzW17Qw7y perisai-desak-ganjar-minta-maaf-ke-publik,1
"@umam27642118 @mohmahfudmd Siapa? Anies dan ganjar sudah Enggak menjabat. Tinggal @prabowo dan @mohmahfudmd . Kapan kalian mundur dari menteri, biar pilpres jurdil.",0
Biar Kang Martabak &amp  Kang Pisang aja  cc @gibran_tweet tak tahu diri @kaesangp tak tahu malu  Mudah2an anak-anakku gak meniru cara kalian,1
@ganjarpranowo @urbansneakersoc Pak ganjar sangat mendukung UMKM,2
Kemarin Pak Ganjar Pranowo menghadiri acara Silatarahmi Kerja Nasional Ikatan Cendekiawan Muslim (ICMI) se-Indonesia 2023 pada Sabtu (4/11/2023). ðŸ«°  #SahabatGanjar  #GanjarMahfud2024 https://t.co/ZX0x1vmOFF,2
@ganjarpranowo @mohmahfudmd Emang terbaik pak ganjar ini ðŸ¥°,2
@Melihat_Indo @ganjarpranowo Pak Ganjar pasti bisa mengemban amanah untuk menjadi presiden Indonesia yg adil dan bijaksana. Tinggal kita masyarakat utk terus dukung pak ganjar,2
beberapa faktor yg menjadi penyebab elektabilitas ganjar lebih kecil dari prabowo #Megawaty #wanitaperisai #ganjarsukavideoporno  https://t.co/NpycNEtxCA,2
"@Joker_Wedoks Ganjar Mahfud aja, yang sudah teruji ðŸ¤Ÿ https://t.co/J8p272nJVX",2
"@bucha76 @andre_rosiade @saifulmujani Smrc itu tim Ganjar, kalo jagoan kalah jauh, gakan dirilis.. yg dirilis cuma survey partainyaðŸ˜",1
"Kalahpun, Kita Kalah terhormat dari Menantu Soeharto &amp  Anak Jokowi  Dengan logistik TRILIUN uang mereka, alat negara termasuk Paman-Paman mereka  Apalaagi MENANG !!!! Gile lu Drone",1
"@Melihat_Indo @ganjarpranowo Pemimpin harus berhati-hati, jangan patahkan harapan yang diberikan oleh rakyat ya pak Ganjar.",2
Ganjar Mahfud terbaek!,2
@Gus_Raharjo Ganjar Mahfud bisa membawa harapan untuk kemajuan Indonesia ðŸ¤ŸðŸ¤Ÿ,2
@UmarSyadatHsb__ Dngn begini PDIP yg playing victim  Pihak pendukung Ganjar yg terzolimi  Basi ...,1
@sapi05490638 Ganjar Pranowo dan Mahfud Md mampu membangun Indonesia,2
@ganjarpranowo @urbansneakersoc Kalau kaya gini mah kita harus all ini pa Ganjar pokonya. Ini nih calon pemimpin yg tebaik,2
"@WinnerWave_ @andre_rosiade @saifulmujani Yang bayar SMRC itu tim Ganjar, jadi ga berani rilis kalo ga sesuai targetðŸ¤­",1
@ganjarpranowo @urbansneakersoc Pak Ganjar Pranowo selalu tahu bagaimana mendukung pemuda kreatif. Memberikan akses permodalan melalui IP adalah langkah brilian!,2
"@ganjarpranowo @mohmahfudmd pokonya jangan ada politik dinasti. Kash kesempatan untuk orang baik yang lebih kompeten, yaitu pak ganjar dan pak mahfud.",2
@Melihat_Indo @ganjarpranowo Pak Ganjar sudah teruji kinerja dan integritas nya sebagai pemimpin,2
Serius ini pak Ganjar?  Kalo bener cepet dah minta maaf  https://t.co/bMGBSfglXy #Megawaty #wanitaperisai #ganjarsukavideoporno,1
@ganjarpranowo @mohmahfudmd Terimakasih pak Ganjar dan pak Mahfud sudah ziarah ke makam bung Karno,2
@DavidWijaya82 Saya gak dukung Ganjar dan serukan kebteman2 karena Ganjar menolak timnas Israel bermain dipildun u-20.,1
@ganjarpranowo @mohmahfudmd Inilah quota terbaik dari Ir. Soekarno semoga bisa diambil maknanya dan diteladani oleh Ganjar Pranowo,2
@sapi05490638 Ganjar Pranowo dan Mahfud Md mampu membangun Indonesia,2
"@SahLeoSin @ecentiawan @jokowi Gaspol...... ProGaMa, Pro Ganjar Mahfud dr Sabang sampe Merauke utk NKRI yg lbh baik lg n lbh maju bahkan melampaui negara super power!!!!!! ðŸ¤ŸðŸ¤ŸðŸ¤ŸðŸ’–ðŸ’–ðŸ’–ðŸ‡®ðŸ‡©ðŸ‡®ðŸ‡©ðŸ‡®ðŸ‡© https://t.co/vmomgsBzi7",2
"@Gus_Raharjo Makin seru politik tahun ini, tapi kita tetap Fokus memenangkan Ganjar Mahfud",2
"Lahir di sebuah kampung kecil di lereng Gunung Lawu, kehidupan Pak Ganjar Pranowo sangat dekat dengan alam.  Hal itu juga yang membuat Beliau semasa kuliah aktif sebagai mahasiswa pecinta alam. ðŸ«°  #SahabatGanjar  #GanjarMahfud2024 https://t.co/tAJARbFBbZ",2
"@Kanjeng2022 Ganjar Prabowo, para relawan PDIP, luar biasa berdarah2 di bawah memperjuangkan Jokowi, Anak2nya tidak pernah terjun lapangan, tapi menikmati hasil semua ini, yg mereka khianati hari ini bukan PDIP, tp para relawan yg bekerja di arus bawah",2
"Aku miris lihat trah Jokowi, 2 x pilih Jokowi tapi kok endingnya.... Aku muak dengan FTV nya trah Jokowi, semoga PDI-P menang banyak, masyarakat melek politik.... Suara ku untuk Ganjar-Mahfud....",2
@Melihat_Indo @ganjarpranowo Sehat selalu pak Ganjar Mahfud sosok yg selalu ingat tuanku ya rakyat,2
@ganjarpranowo @mohmahfudmd Ganjar pranowo selalu dihati jangan lupa dukung selalu pak Ganjar pranowo sampai menjadi presiden,2
Tapi feel lama ku  Kenapa ganjar pranowo Dan mahfud md  Feel lama ku. Si ganjar ini lah  Ganti jokowi,1
@ganjarpranowo @mohmahfudmd Wah akhirnya pak Ganjar dan pak Mahfud ziarah ke makam bung Karno,2
"Saat Pak Ganjar Pranowo meramaikan Pameran USS 2023, memborong produk fashion anak bangsa. ðŸ«°  #SahabatGanjar #GanjarPranowo  #GanjarMahfud2024 https://t.co/L7xfMj50aT",2
@Gus_Raharjo Hahaha semakin yakin dkung ganjar mahfud,2
NO BOWO AT ALL !!!  Ingat BOWO Kalah 3X   Kita bikin KO lagi di 2024,1
"@wdtu @mochamadarip terkonfirmasi bahwa kubu prabowo menggunakan politik identitas, loh kok malah mau jd wakilnya, ini bahaya sekali. Cara yg dipakai sgt kotor, harusnya dihindari oleh Jokowi dg memperkuat Ganjar dan Mahfud yg jelas2 anti politik identitas",1
"@VIVAcoid Pilih Ganjar - Mahfud, Prabowo - Gibran sama saja pilih PDIP dan Jokowi  untuk berkuasa kembali. Mlegedezzz !",1
@ganjarpranowo @mohmahfudmd Bismillah capres 2024 pak Ganjar pranowo menang,2
@Gus_Raharjo Makin mantep Dukung pak GanjarðŸ¤ŸðŸ¤Ÿ,2
